continent,country,state,city,postal_code,latitude,longitude,timezone,address,region
Antarctica,Timor-Leste,West Virginia,West Jamie,08599,61.9830855,9.509996,,"784 Cruz Key Suite 791, Debraberg, MI 91196",WY
,Cook Islands,Georgia,New Daniel,51797,-26.8328275,-41.646459,,"USNV Myers, FPO AE 07871",VA
Africa,Greenland,Rhode Island,North Reneechester,80297,-19.200787,138.155301,,"1930 Hunter Mills Suite 650, Myersfurt, AL 22707",
Australia,Christmas Island,,Lake Manuelfurt,,14.7423875,-23.307739,Asia/Jakarta,"3681 Joseph Brooks Suite 495, Port Brianport, WA 44238",NH
North America,,,Bryantbury,07324,-54.544394,-22.843760,Asia/Bishkek,"12652 Brendan Radial Apt. 362, Travisville, TN 19243",SD
North America,,Oklahoma,Tammyside,13081,57.5894625,11.331406,America/Tijuana,"058 Sampson Ports, South Chelsea, ID 68737",
Europe,Guatemala,Wyoming,New Bonniefort,68120,-59.0963575,-50.394324,,"USNV Lee, FPO AA 98867",CO
Australia,Martinique,Minnesota,Pittsside,80193,89.650292,-169.404769,America/Managua,"45396 Jennifer Views Suite 766, Michelleport, OH 63540",WV
South America,Ecuador,Pennsylvania,East Briantown,50956,,-163.920494,Africa/Brazzaville,"1931 Delacruz Lodge, New Christopher, ND 68395",
Antarctica,Tuvalu,Montana,Lake Henry,62741,43.761513,7.510954,Europe/Tallinn,"366 Lambert Streets, Port Cassandra, KY 34598",MH
Australia,Tajikistan,Alaska,North Joan,64271,-25.7494665,128.553918,America/Jamaica,"95680 Walter Divide Suite 839, East Lawrenceborough, CA 56297",MO
Antarctica,Swaziland,Wisconsin,Port Tammyview,92496,17.136947,2.983959,,,MD
South America,,Louisiana,,38966,88.9950655,166.764308,Indian/Mauritius,"520 Hammond Mills Suite 691, Bryanberg, IL 08673",FL
North America,Burundi,Illinois,Rebeccaberg,67420,76.523899,173.123815,Europe/Minsk,"22682 Gilbert Views Suite 503, Gutierrezton, NV 39706",
South America,Italy,Pennsylvania,,81901,77.924081,92.482432,,"99828 Jackson Stravenue, Martinezburgh, MT 43928",MH
Australia,Czech Republic,California,South Brian,54895,-42.756722,164.444399,Asia/Pyongyang,"USNS Burch, FPO AE 41548",FL
Asia,,Kentucky,Toddtown,21617,56.2346875,,Asia/Beirut,,MA
,French Polynesia,,,74339,61.3527195,-98.398097,Asia/Bangkok,"9997 Watts Hollow, Mariafurt, MT 83901",
Australia,Wallis and Futuna,Minnesota,New Cherylstad,05446,-49.6690705,98.582569,Africa/Djibouti,"791 Michael Summit Suite 560, Jillstad, VT 26496",DE
South America,Colombia,Montana,Pamelaport,14343,39.507968,-116.442036,,,DE
Antarctica,Afghanistan,Virginia,,,-89.657864,-116.637176,Asia/Karachi,"25263 Montoya Unions, Port Melaniebury, AK 30281",IA
Europe,Panama,Georgia,South Vincentstad,11722,-61.365966,21.329770,Pacific/Majuro,,
Africa,Denmark,Indiana,South Jasmine,71094,84.4271955,,Asia/Tokyo,"61134 Michael Extensions Suite 854, Beckermouth, MO 77980",TN
Australia,Sao Tome and Principe,Washington,Port Erica,58902,-9.156680,-93.576463,Africa/Mbabane,"27058 Teresa Manors, East Leonard, MS 20042",CO
Europe,Trinidad and Tobago,Nevada,Marktown,38549,,-48.495278,,"1260 Cook Corners Apt. 494, Walkerstad, NJ 17184",
North America,Moldova,Missouri,North Alfred,46760,-23.305692,176.762415,,"4573 James Plaza Suite 848, Brittneyton, NY 86994",OR
Asia,Turkmenistan,,Port Wendymouth,30359,-21.9888755,-1.167195,Asia/Damascus,"8353 Zachary Park Suite 752, North Jamesland, NV 48131",VI
,Cameroon,,North Nicoleton,03565,68.326896,44.127107,Atlantic/Cape_Verde,"2500 Stark Springs, West Jermaine, ID 41010",PW
Australia,Congo,Oregon,North Brittanybury,84086,-63.660297,-122.631861,Africa/Kigali,,NJ
,Saint Lucia,Arizona,Virginiaview,50878,-65.4162185,118.131641,,,MD
South America,Lithuania,Michigan,Moorefurt,,-31.3103135,,Europe/Amsterdam,"8331 Pugh Inlet, Port Shawnshire, SD 39177",
Africa,Chad,Louisiana,North Gary,,-9.1094365,-29.180558,America/Cambridge_Bay,"Unit 5519 Box 2256, DPO AE 77073",FM
South America,Sudan,Minnesota,New Wayne,83388,-61.1655385,-170.967298,Indian/Comoro,"77345 Mays Meadow, South Jesseport, NM 35396",SC
,Yemen,Florida,Stephanieport,34528,-48.0572615,-84.421930,Pacific/Tongatapu,"Unit 6976 Box 1565, DPO AA 51990",IA
Antarctica,Georgia,,New Katherineton,59009,83.2083785,-132.836865,Europe/Copenhagen,,OH
Australia,,Pennsylvania,Floresshire,58739,42.2824205,152.773010,Europe/Zurich,"USS Franklin, FPO AE 84830",ID
Asia,Guadeloupe,South Dakota,Lake Brent,83897,,99.748577,Atlantic/Cape_Verde,"97241 Lisa Valleys Apt. 070, Frankhaven, MD 06860",AS
Asia,Azerbaijan,New York,,,70.539796,-69.895278,America/Guyana,"5254 Nancy Vista Suite 618, New Lorraineburgh, AS 06086",DE
Antarctica,Isle of Man,New Jersey,Wilsonside,64194,-66.180111,53.991729,Africa/Kampala,"4255 Gilbert Falls, Stevenland, GA 63047",NJ
Antarctica,Netherlands Antilles,Michigan,Port Stephanieberg,,16.581283,153.923766,Africa/Ndjamena,"976 Kathy Stravenue Suite 503, Williamsmouth, TX 41780",NY
South America,Sao Tome and Principe,Mississippi,Michelleshire,77798,,94.668881,America/Nassau,"96488 Chad Trail Apt. 057, Welchfurt, TX 22938",MT
Europe,Hong Kong,Washington,Lake George,60881,45.8306925,28.419816,Pacific/Port_Moresby,,TN
South America,Tuvalu,Pennsylvania,Port Keithland,78842,76.5655395,-59.063709,,"083 Mark Stream, West Johnnyhaven, NE 78001",
Antarctica,Ireland,New Jersey,Rayville,38531,50.1667335,,Africa/Johannesburg,"PSC 3856, Box 9227, APO AE 04638",RI
Australia,Svalbard & Jan Mayen Islands,Hawaii,,23131,75.254352,-133.005247,America/Juneau,"825 Sparks Mountain Suite 274, Charlesville, PA 19196",GA
South America,Turkey,California,North Melissaville,74180,16.952819,-120.920681,Africa/Gaborone,"293 Elizabeth Plaza Suite 306, East Alyssaland, AK 35041",WY
Australia,Cote d'Ivoire,Florida,Lake Deborahfort,62413,,132.107150,Australia/Melbourne,"130 Brandon Plains, Douglasfort, SC 99857",WI
Africa,Philippines,North Carolina,Washingtonbury,66354,21.224576,-49.866540,Asia/Kuching,"Unit 1145 Box 8121, DPO AP 72553",
Antarctica,Libyan Arab Jamahiriya,,Royport,89215,-88.281494,,Pacific/Efate,"3146 Vincent Light, Barbaraberg, AZ 71655",WY
Asia,,Nebraska,Garciaside,75313,-13.491908,-60.239793,Atlantic/Cape_Verde,"14027 Kathryn Junction Apt. 190, Mannborough, RI 18027",TN
Antarctica,Spain,Missouri,Alexanderport,84083,53.370980,,Africa/Malabo,"308 Jerry Gateway Apt. 712, Port Gracemouth, OR 57743",MD
Australia,Singapore,Nevada,New Andrewshire,82481,-19.127700,-25.170016,Africa/Bujumbura,"USCGC Anderson, FPO AE 57668",CA
South America,Mexico,Louisiana,,,,119.834610,,"024 Williams Branch Apt. 073, Gabriellemouth, NJ 89065",TN
North America,Myanmar,Rhode Island,Lake Christopher,75256,-49.986697,-51.863356,Asia/Riyadh,,PR
,Tajikistan,,Patriciachester,16523,-33.656944,21.073157,Asia/Damascus,"084 Laurie Ford, Williamville, NC 82066",PW
Antarctica,South Georgia and the South Sandwich Islands,Oregon,East Ricky,69684,,84.066307,,,ME
Australia,Rwanda,Alabama,Carrollhaven,36545,71.362083,58.605670,Asia/Baghdad,"77955 Steven Estates Suite 015, Jonesside, DC 74851",
South America,,Arizona,Andrewfurt,54176,-8.7342025,-36.849887,Asia/Shanghai,"58306 Wanda Bridge Suite 048, South Amy, NH 89809",ID
Antarctica,Ecuador,Utah,Taylorberg,16858,-46.437002,88.263360,Asia/Jerusalem,"483 Good Corners, West Justinmouth, KS 00760",WI
Europe,Madagascar,Montana,Lake Gabrielaton,15855,,-178.256245,Pacific/Auckland,"0273 Reeves Locks Suite 820, South Kenneth, AK 29734",MP
Africa,Ireland,Kentucky,Robertsonstad,96045,44.281729,-128.715100,Europe/San_Marino,,MN
Africa,American Samoa,West Virginia,West Tony,90057,-87.443645,-47.811727,Asia/Aden,"6074 Swanson Brook, Port Mckenziefort, IN 32714",DC
South America,Thailand,Mississippi,North Ryan,55151,-3.9491895,143.877941,,"4995 Carrie Ville Apt. 673, Lake Anthonychester, AL 31846",OK
North America,Chad,Rhode Island,,15012,-10.281518,175.449626,Asia/Karachi,"45360 Daniel Squares, Lisaburgh, IL 90129",LA
North America,Zambia,Utah,North Spencerland,12312,-14.3490955,-28.682144,Asia/Katmandu,"079 Amber Points, North Jacob, NM 47354",NV
Australia,,Michigan,Sanchezland,62234,28.028573,-28.269328,,"68837 Rodriguez Burgs, Delgadohaven, ND 03320",VI
Asia,Dominican Republic,South Dakota,Andreaborough,09719,73.4018095,-32.807270,Europe/Zaporozhye,"43931 Holmes Turnpike Suite 852, Port Anthony, CO 83851",ID
North America,,Oklahoma,Kimville,,19.206812,143.857893,Asia/Dubai,"5259 Earl Tunnel, Port Patricia, NE 16096",SC
Australia,Uruguay,Tennessee,South Traci,93113,-85.277012,-48.738162,Asia/Bangkok,"4776 Rodriguez Trafficway, Scottside, NV 66916",
Asia,France,,West Bruceton,77975,7.002223,15.911601,Asia/Tehran,"9457 Deborah Glens Apt. 602, Beckyland, VA 80843",
Europe,Greece,Arizona,North Carolyn,24835,-43.8646295,-86.966246,Europe/Dublin,"953 Jeremy Plains Suite 130, Carterfurt, IL 39130",HI
Europe,Libyan Arab Jamahiriya,Delaware,Michaelborough,31959,-10.5293605,33.193746,Europe/San_Marino,"4729 Greene Causeway, Copelandchester, WV 50617",IL
South America,Syrian Arab Republic,Indiana,Spencerside,18402,-7.355050,-42.528994,Europe/Sofia,"088 Ronald Crossroad, New Mackenzietown, FL 52066",NY
Asia,Iran,New Hampshire,New Jennychester,58494,-51.7630305,101.441575,,"PSC 7285, Box 5522, APO AE 84760",WY
Australia,Solomon Islands,Washington,Port Maryfurt,80674,-58.4045525,-120.839990,Pacific/Guadalcanal,"530 Linda Circles, Davisstad, TX 18628",SD
South America,Timor-Leste,Idaho,Lawrenceville,36528,-81.2898825,-132.741813,Africa/Luanda,"34020 Angela Roads Suite 557, Reneeland, MI 40572",
Africa,,Kansas,,83679,,,Asia/Anadyr,"295 Jay Prairie, Lake Erica, MS 51023",OK
Europe,United States Minor Outlying Islands,Delaware,South Chelseachester,94543,-27.4405105,92.002906,Europe/Skopje,"43120 Smith View Suite 038, New Christina, NM 29321",MN
Asia,South Georgia and the South Sandwich Islands,North Carolina,North James,92322,38.031477,-100.516975,Asia/Jayapura,"052 Elizabeth Brooks Suite 553, Moralesborough, KY 68424",MS
Africa,Marshall Islands,Louisiana,Riverastad,13317,6.7768665,-37.184476,America/Guatemala,"7763 Hansen Unions, East Christineton, SD 79909",PR
South America,Belize,,,70290,-62.2533105,,Africa/Nairobi,"08472 Powers Drives, New Jenniferville, MS 40080",NH
Australia,Cayman Islands,,New Sandra,47113,76.944171,-18.680774,America/Guatemala,"4596 Moore Passage, Barberchester, WY 01623",SD
,Netherlands,Nevada,New Markhaven,08489,-41.406820,-164.597165,Europe/Stockholm,"501 Jennifer Court Suite 012, North Williamstad, IN 74600",NY
Europe,Belarus,Missouri,South Robertchester,,-18.940245,-39.520649,,"78759 Ethan Union, Garrisonmouth, HI 30520",WY
Asia,Reunion,Arizona,Bentleyville,74220,60.3764685,87.307078,Asia/Tashkent,"705 Curry Ridges, New Sharon, GU 39937",AK
South America,Bhutan,,Jessicaborough,10074,64.3265065,166.968329,Europe/Bucharest,"02808 Joe Valleys Apt. 412, Shannonfort, NH 57279",CA
Europe,Slovakia (Slovak Republic),South Carolina,South Michellebury,,-2.635615,116.158208,Pacific/Port_Moresby,"52284 Thomas Inlet, Teresaside, MA 87793",NE
North America,,Colorado,Gomezfort,92051,51.9999205,,America/Jamaica,"332 Timothy Road Suite 134, Kristinville, SC 02035",FL
Antarctica,Bosnia and Herzegovina,Arkansas,Jenniferborough,79398,-6.7445235,-46.248625,Europe/Zagreb,"PSC 9119, Box 6435, APO AA 83904",KY
,Argentina,Louisiana,Richardton,61090,34.9430565,136.361659,Asia/Karachi,"0215 Mcbride Locks Suite 206, East Cynthia, MO 54044",MP
Antarctica,Guatemala,Illinois,Christianberg,51035,-32.4202535,-47.651942,Europe/Skopje,,MT
Australia,El Salvador,Missouri,Melissaview,93025,44.653874,-97.816832,Africa/Niamey,"USNV Ho, FPO AE 87820",MT
Africa,Korea,Michigan,Morrowbury,,-73.379154,121.486230,Africa/Algiers,"434 Baker Dam Suite 845, Rogersfort, GA 76172",NV
Antarctica,South Africa,Florida,North Kimberlymouth,38196,-79.6775075,139.706572,Asia/Saigon,"85504 Bell Centers Apt. 233, West Christinatown, CO 66882",VT
North America,Jordan,Alabama,North Joshua,02705,70.2787755,169.164725,Pacific/Efate,,PA
,Lao People's Democratic Republic,,Morrisbury,31108,3.8262305,-11.203240,,,MO
Europe,,Washington,,,42.127932,-134.443980,America/Asuncion,"59213 Bradley Shoals, Michaelport, MD 79585",GU
Europe,Egypt,Iowa,Wilsonmouth,58988,34.635102,168.970320,Africa/Malabo,"39210 Carson Mountain Suite 394, Melissaborough, IA 69609",LA
Africa,Vanuatu,Arizona,South Kevin,09915,55.449606,102.356282,Africa/Cairo,"5408 Yolanda Village, Campbellland, DE 89946",NC
Australia,Lebanon,New Jersey,Mendozaberg,72136,79.0472525,,Asia/Singapore,,NY
South America,Argentina,Hawaii,Clarkport,04868,20.5106235,-134.365533,Asia/Pyongyang,"Unit 1609 Box 3525, DPO AA 79150",NJ
,Cote d'Ivoire,Georgia,Port Donnafort,65560,-2.048687,33.630161,Indian/Maldives,"331 Pierce Lake, Mollyshire, CA 80889",SC
Antarctica,Tajikistan,Colorado,Castilloberg,06485,-44.287488,-98.721014,America/Guatemala,"032 Edward Manors Suite 013, Ericbury, NH 83231",NH
Australia,San Marino,New Mexico,South Steven,62413,25.193844,-32.325299,Asia/Dili,"2286 Richard Flats, Harringtonfort, LA 28656",
Australia,Azerbaijan,Alaska,Ellismouth,,,9.433621,Europe/Prague,"8341 Olson Land Apt. 553, North Gregory, GA 07952",OH
Australia,Oman,New York,East Tanyaland,01064,73.870792,175.139744,Africa/Libreville,"181 Bishop Crossing, Reyesberg, AZ 88154",CO
Antarctica,Kenya,Pennsylvania,Lake Jameston,50833,44.2762995,-31.456595,Europe/Dublin,"474 Wright Rapid Suite 936, Jasmineview, IL 82617",AS
Antarctica,Malawi,Alaska,,33413,-87.7300265,-134.691177,Pacific/Nauru,"1346 Rodriguez Prairie, Davidstad, TN 43156",AL
Africa,Puerto Rico,Indiana,North Amanda,44021,64.5122545,100.667764,Africa/Ndjamena,"2676 Harvey Trail Apt. 699, Walshstad, MT 62612",IN
South America,Honduras,Rhode Island,Port Alexandra,64436,-85.1284815,-41.707987,Asia/Amman,"99475 Hannah Loaf Suite 927, Jonathanmouth, LA 35164",NM
Europe,Belarus,,New Adam,64159,-36.5917255,42.760458,America/El_Salvador,"9356 Clayton Estates, Mercadoburgh, WV 28918",CT
Europe,Timor-Leste,Tennessee,Robersonchester,27140,-17.352159,138.939224,,"7015 Ryan Streets Suite 709, Lake Ashley, PR 40480",VT
Antarctica,Suriname,Pennsylvania,West Brianmouth,52495,,124.455550,Africa/Djibouti,"9639 Thompson Mount Suite 811, Kevinberg, NE 96338",
North America,Cape Verde,North Carolina,,33642,-31.9504475,94.529197,Asia/Thimphu,"3051 Miller Pine, West Kathleen, NM 50674",LA
Europe,Denmark,Kansas,Knightfort,,56.3736755,-1.382933,Africa/Djibouti,"Unit 3334 Box 6046, DPO AA 79392",UT
Asia,French Polynesia,Missouri,New Joseph,13516,10.210010,163.000297,Asia/Choibalsan,"60690 Ford Turnpike, Barbaratown, MI 97911",FL
Asia,Japan,Oregon,New Andrewport,03194,83.2960045,116.661393,,,GA
South America,Saint Vincent and the Grenadines,Utah,Lake Meghanport,85102,50.350414,41.256833,Asia/Calcutta,"PSC 2066, Box 9330, APO AA 76068",VI
South America,,Colorado,Hillborough,83672,43.4877075,100.054355,Europe/Copenhagen,"38120 Hartman Squares, Port Richard, MO 61539",ND
Africa,Romania,Michigan,Port Sallytown,81079,81.4504665,149.384284,Asia/Phnom_Penh,"713 Margaret Pass, Lake Anthony, DE 65294",AR
North America,,,West Amy,50813,1.6634605,177.439613,Africa/Bujumbura,"4761 Anthony Mission Suite 512, Lake Christy, WV 09939",UT
Africa,Slovenia,,North Sierramouth,74937,-78.498400,-51.608300,Europe/Paris,"48232 Hoover Loaf, Jenniferchester, CO 81393",
,Syrian Arab Republic,Nebraska,West Kathleen,77341,-15.9908345,12.504653,Pacific/Apia,"5077 Samantha Forges Apt. 058, Lake Lauren, MT 19389",MN
Antarctica,Monaco,Maryland,Johnsonmouth,55656,-67.874412,,Europe/Vienna,"68864 Gregory Station Apt. 811, Lake Pedro, PR 74405",NY
Europe,Monaco,Vermont,Kristinberg,56763,56.1700295,83.482334,,"64517 Rachel Camp Suite 888, East Richardville, PR 27863",SD
Australia,Faroe Islands,,Lake Michael,87877,65.6536265,,America/Guatemala,"775 Bruce Station Apt. 067, East Timothy, GA 62021",DE
North America,Samoa,Rhode Island,,26675,48.378409,-143.009423,Europe/Athens,"35863 Erik Cliffs, Lake Sharonside, VI 09381",RI
Africa,Dominican Republic,Nevada,Blackmouth,09815,37.236339,-114.082140,America/Panama,"96198 Mercado Lake Suite 622, North Daniel, OR 27960",
Australia,Central African Republic,Oklahoma,Hilltown,28568,-11.999849,,Asia/Gaza,"7360 Caldwell Forks, Cabreraville, AZ 34804",SD
,Holy See (Vatican City State),Arkansas,Moralesport,29900,-69.9342905,165.510602,Europe/Riga,"638 Monica Union, Karifort, NM 54945",ND
Asia,,California,Port Charlottehaven,21919,55.3784635,122.109223,America/Lima,"3525 Robert Hollow Suite 924, Oneillside, RI 16127",CO
Africa,Central African Republic,Kentucky,,69306,72.551072,100.616123,Europe/Amsterdam,"2017 Murphy Locks, Reeseside, TN 95410",VI
Asia,Somalia,Arkansas,Jasontown,81418,62.600659,161.812454,Asia/Pyongyang,"3159 Richard Vista Suite 297, Port Steven, MA 11785",RI
Australia,Sierra Leone,Montana,Garciastad,33866,-78.983439,-7.476200,Africa/Ndjamena,"606 Bailey Locks, Mauricestad, NY 28430",IL
Antarctica,Tunisia,Washington,,40452,-50.8597595,-162.122270,Africa/Freetown,"09375 Hubbard Mount, Desireefurt, WA 84145",MA
Europe,Costa Rica,Wyoming,East Lauratown,,40.681936,-77.641959,Pacific/Apia,"644 Amanda Points, Port Cynthia, PW 81772",TN
Europe,Netherlands,Massachusetts,Thomasport,54473,,29.766003,Africa/Dar_es_Salaam,"17388 Margaret Lock Apt. 266, South Lisa, ID 73655",WV
Australia,,Wisconsin,South Jennifer,24780,-52.613060,-179.775768,Asia/Thimphu,"723 Johnson Hill Suite 701, Kimberg, GU 41051",
Europe,Norway,Maryland,Elizabethside,68259,69.6138245,84.202356,Asia/Beirut,"0856 Graham Vista, East Jillmouth, NH 59865",AK
North America,Netherlands,North Carolina,East Michael,59306,,142.473060,Africa/Harare,"673 Carrie Islands, Carsonfurt, AK 07693",NH
South America,,Michigan,Hannahport,32588,-59.9804285,-104.270017,Asia/Rangoon,"2756 Simmons Gateway Apt. 476, West Louis, WV 18938",WY
North America,China,New Mexico,Lake Nancy,52827,-64.6904515,-104.853765,Africa/Accra,"227 Brenda Highway Apt. 182, North Emilyview, IL 16713",ID
Australia,Taiwan,Hawaii,West Shane,17317,79.7769305,87.172497,Africa/Maseru,"84162 Fisher Heights Apt. 463, Garciaberg, CA 76362",FM
Antarctica,Wallis and Futuna,Nebraska,South Jenniferberg,53667,,,Africa/Bujumbura,"238 Ortiz Causeway, Ericview, ME 48804",GU
Australia,Iceland,Delaware,South Gregoryfurt,46615,-59.5448245,150.109198,Pacific/Tarawa,"0270 Tiffany Oval Suite 539, West Jeffrey, VA 39839",ME
,Maldives,Arizona,Mitchellshire,35147,-83.9394665,,Asia/Ashgabat,"46159 Valerie Radial Apt. 456, Heatherland, DC 18744",
Europe,Mozambique,California,Houstonland,93478,44.2940955,134.113553,America/St_Vincent,"94251 Benson Island, Port Ravenhaven, MA 49115",NY
,Thailand,Utah,Port Briantown,,-60.531154,-0.053798,America/La_Paz,"59574 Bradley Inlet, West Deborahhaven, MP 08947",OK
North America,Antarctica (the territory South of 60 deg S),South Carolina,Lake Robin,,76.978579,-52.649979,Africa/Algiers,"733 Andrew Gardens, Deborahside, GU 50518",FM
Europe,Myanmar,Tennessee,West Jessicastad,57608,-64.227053,,Africa/Johannesburg,"USS Romero, FPO AA 72531",PW
Asia,Libyan Arab Jamahiriya,Virginia,Port Brianaberg,44750,58.8897135,-156.380361,Pacific/Nauru,"005 Samuel Falls, East Michael, MN 38093",NV
Asia,Pakistan,Maryland,Sallyshire,00816,-86.390619,,,"56024 Stein Cliff Suite 688, New Teresaton, ID 65926",IA
Europe,Niger,New Jersey,West Emily,10007,-67.6635825,69.860304,Asia/Manila,"095 Amy Mill Suite 214, Ramseychester, PA 23054",WI
Antarctica,Zambia,Mississippi,Jasonshire,27440,-83.336114,74.662456,Asia/Saigon,,CA
Africa,Cocos (Keeling) Islands,Ohio,,69307,0.040362,152.683872,Africa/Cairo,"970 Madeline Loaf, East Sabrinaberg, RI 20252",
Europe,Ghana,North Carolina,Carrietown,97719,,10.949254,Europe/Tirane,"4660 Mitchell Lakes Suite 871, Markborough, IN 76985",
Africa,Brunei Darussalam,Alabama,Prestonhaven,40399,,-122.946410,Asia/Kabul,"75169 Brittany Ports Suite 296, East Joseland, LA 31601",PR
North America,Gambia,Wyoming,Lake Craigchester,58130,-42.6218515,-0.648743,Africa/Porto-Novo,"4546 Cody Plains, West Travis, PA 89143",NC
Asia,Kazakhstan,Nevada,Leeton,01548,-8.1441455,48.141826,Pacific/Efate,"614 Tammy Locks, North Miguel, NC 87037",
Europe,Bulgaria,Oregon,Penabury,47839,-22.9863215,-41.663794,Asia/Dubai,"99972 Thomas Rapids Suite 894, Aaronberg, DE 38147",KY
South America,Venezuela,Pennsylvania,Lake Rebecca,44567,-86.516558,-60.362899,Atlantic/Reykjavik,"6779 Yvette Locks, East Michael, NM 78852",ME
North America,Malaysia,Rhode Island,Morantown,,16.4933125,167.275195,Europe/Prague,"6017 Miller Causeway, Gonzalezton, MA 99195",VT
Africa,,Alaska,Johnfurt,13008,-88.4003495,-77.166732,Africa/Ouagadougou,"4171 Butler Pines, Kimberlyberg, MD 65246",NM
Africa,Venezuela,Alaska,New Andrea,,-49.790273,-56.193707,Africa/Mogadishu,"656 Christopher Mountains, Wilsonport, ID 80833",MA
Asia,Armenia,Minnesota,Daviesshire,44698,-24.524814,26.439253,,"9406 William Turnpike Apt. 231, West Daniel, MA 59421",CA
Australia,Western Sahara,Illinois,Bernardmouth,44581,-80.740252,,Asia/Karachi,,LA
,Malawi,Maine,,49656,-78.7191635,-155.973590,Africa/Windhoek,"7050 Bird Expressway, Ericview, PR 08759",MN
Asia,Swaziland,Vermont,Rickeystad,97302,-54.5266875,,,,NV
Asia,Denmark,Maryland,Port Michele,44607,12.765405,,Asia/Phnom_Penh,"4822 Patricia River Suite 662, Mcknightland, RI 88065",MA
Antarctica,Nigeria,Nebraska,Obrienshire,39943,,-99.124678,Africa/Maseru,,MD
,Hungary,Illinois,Kevinstad,69330,54.3759095,118.010543,Europe/Bratislava,"PSC 5403, Box 9659, APO AP 28916",MO
Asia,Luxembourg,Washington,Suzannemouth,44891,-72.060256,156.980518,America/Belize,"509 Heather Spring, Smithton, PW 03365",IL
North America,Korea,Utah,Barrettberg,28697,,34.491945,America/Jamaica,"358 Weaver Heights Suite 357, Kathrynberg, WI 29950",MT
Africa,Chile,Maryland,Susanstad,76290,78.864439,112.375917,Africa/Maseru,"2690 Hanna Shoal, Kellermouth, RI 68876",MH
South America,Tunisia,Maine,Lake Anne,,38.901882,61.436076,Europe/Berlin,"093 Taylor Fall, West Carolynville, FL 58323",
Australia,Western Sahara,Alabama,West Heather,65912,-77.5075635,-46.811922,Pacific/Guadalcanal,"5936 Smith Stream, New Justinview, MT 49727",OR
Europe,New Caledonia,Michigan,Williamsview,41920,-56.558910,-89.412545,America/Panama,"8868 Carl Port Apt. 690, Pottsborough, AR 16186",ID
Australia,,Ohio,Kingstad,27322,10.023090,-56.763673,Asia/Bangkok,"93818 Kimberly Course Suite 634, Lake Julie, AZ 71836",ND
Australia,Myanmar,Indiana,Jessicashire,26784,35.4364695,,America/Bogota,"986 Wall Well Suite 247, East Michellehaven, WA 58314",NY
Asia,Vietnam,,Lake Marioland,05669,64.153225,-85.380328,Asia/Amman,"5480 Ralph Square, Howardfort, CA 20346",DC
Antarctica,Trinidad and Tobago,,East Roberthaven,01487,-2.2450225,103.374511,America/Port_of_Spain,,TX
,Mali,South Dakota,,77639,3.054528,117.430943,Asia/Katmandu,"PSC 8562, Box 3465, APO AE 34638",PA
Australia,Kenya,Colorado,Salinasland,28563,-31.833462,20.223531,Pacific/Tongatapu,"888 Thomas Burgs Apt. 110, Lake Stephanieville, OK 81347",MT
Asia,Austria,Minnesota,Jessicabury,19782,-11.217822,-70.526005,Asia/Saigon,"33625 Anita Rest Suite 305, Lauraberg, MD 04321",
Antarctica,United States Minor Outlying Islands,,Veronicamouth,23850,42.639698,-140.411811,Asia/Kuwait,,PA
Asia,Bahamas,Massachusetts,Weisston,93025,-34.8366245,13.398135,Pacific/Nauru,"2087 Jeffrey Spurs Apt. 452, East Arielburgh, AL 34603",
Australia,Greenland,Arkansas,North Michaelhaven,91939,21.011272,174.060319,Europe/Sofia,"4105 Sutton Keys, North Anthony, AK 31770",KY
Australia,Angola,Virginia,North Jonathanstad,73128,62.471605,166.684693,Asia/Yerevan,"45906 Heather Mews Suite 382, West Jeffreychester, UT 92042",DE
Europe,Korea,New Jersey,Gabrielland,02517,-81.042476,37.780839,America/Panama,"454 Smith Station Apt. 501, Thomasland, VT 20745",MO
,Botswana,Michigan,New Alexanderside,,14.4101965,61.518738,Europe/Stockholm,"3015 Beck Creek Apt. 070, Port Zoe, DE 17498",MO
Australia,Seychelles,West Virginia,Stokesside,13672,-58.3351035,-158.063179,Europe/Copenhagen,"343 Shane Cove, Ashleyside, LA 42493",NV
North America,,Arizona,Nancyport,56672,,26.372028,Africa/Douala,"50957 Davila Squares, Westport, MO 34214",WI
North America,South Africa,,West Maryville,63122,21.0900235,,Pacific/Truk,"4507 Joy Groves Apt. 305, South Thomasstad, SC 41449",DC
North America,British Virgin Islands,Florida,North Joyce,56697,89.869565,-9.811312,Africa/Cairo,"16680 Chambers Estates, Port Anthonyfort, HI 47772",MA
South America,Mauritius,West Virginia,Kathleentown,92368,-3.149272,16.903992,Europe/Athens,"Unit 9647 Box 1948, DPO AE 84155",IL
Africa,Djibouti,Tennessee,East Angelaburgh,29313,74.358319,,,"15802 John Land Suite 514, Lewisstad, KY 62665",NC
,Pakistan,Colorado,Barbarafurt,40418,-67.9601945,-54.201850,Europe/Zurich,"848 Tran Club Suite 752, Gilbertview, ID 75105",RI
Europe,,,Port Amanda,,58.5785805,179.997433,Europe/Tallinn,"54835 Walton Plaza Apt. 927, West Rebecca, LA 07538",DE
Asia,,Illinois,,69393,-53.994469,-89.426850,Europe/Monaco,"733 Bonnie Villages, Lewisville, GU 46424",LA
Australia,Comoros,Washington,West Christina,97454,-80.128442,-142.417054,America/Grenada,"PSC 8308, Box 0242, APO AE 73599",KS
